Memory, Processes, 16, Rank, 7, vMem, 1022440 KB, pMem, 640080 KB
Memory, Processes, 16, Rank, 15, vMem, 1020552 KB, pMem, 638296 KB
Memory, Processes, 16, Rank, 13, vMem, 1023728 KB, pMem, 641448 KB
Memory, Processes, 16, Rank, 5, vMem, 1022852 KB, pMem, 640524 KB
Memory, Processes, 16, Rank, 1, vMem, 1023340 KB, pMem, 640984 KB
Memory, Processes, 16, Rank, 9, vMem, 1023540 KB, pMem, 641260 KB
Memory, Processes, 16, Rank, 3, vMem, 1024760 KB, pMem, 642504 KB
Memory, Processes, 16, Rank, 11, vMem, 1022796 KB, pMem, 640444 KB
Memory, Processes, 16, Rank, 6, vMem, 1025272 KB, pMem, 642876 KB
Memory, Processes, 16, Rank, 2, vMem, 1023684 KB, pMem, 641464 KB
Memory, Processes, 16, Rank, 10, vMem, 1025036 KB, pMem, 642688 KB
Memory, Processes, 16, Rank, 12, vMem, 1022900 KB, pMem, 640684 KB
Memory, Processes, 16, Rank, 14, vMem, 1020712 KB, pMem, 638444 KB
Memory, Processes, 16, Rank, 4, vMem, 1023008 KB, pMem, 640700 KB
Memory, Processes, 16, Rank, 8, vMem, 1023496 KB, pMem, 641212 KB
Memory, Processes, 16, Rank, 0, vMem, 1022404 KB, pMem, 640036 KB
DATA, 346103.791000, Processes, 16
