Memory, Processes, 16, Rank, 1, vMem, 1048008 KB, pMem, 641060 KB
Memory, Processes, 16, Rank, 7, vMem, 1047264 KB, pMem, 640268 KB
Memory, Processes, 16, Rank, 3, vMem, 1049456 KB, pMem, 644496 KB
Memory, Processes, 16, Rank, 0, vMem, 1046712 KB, pMem, 639788 KB
Memory, Processes, 16, Rank, 4, vMem, 1047496 KB, pMem, 640572 KB
Memory, Processes, 16, Rank, 6, vMem, 1049544 KB, pMem, 642612 KB
Memory, Processes, 16, Rank, 2, vMem, 1048312 KB, pMem, 641316 KB
Memory, Processes, 16, Rank, 9, vMem, 1047960 KB, pMem, 643064 KB
Memory, Processes, 16, Rank, 11, vMem, 1047224 KB, pMem, 640228 KB
Memory, Processes, 16, Rank, 12, vMem, 1047548 KB, pMem, 640624 KB
Memory, Processes, 16, Rank, 14, vMem, 1047456 KB, pMem, 640440 KB
Memory, Processes, 16, Rank, 15, vMem, 1047460 KB, pMem, 640528 KB
Memory, Processes, 16, Rank, 8, vMem, 1048144 KB, pMem, 641228 KB
Memory, Processes, 16, Rank, 10, vMem, 1049564 KB, pMem, 642556 KB
Memory, Processes, 16, Rank, 5, vMem, 1047396 KB, pMem, 640400 KB
Memory, Processes, 16, Rank, 13, vMem, 1048488 KB, pMem, 641280 KB
DATA, 458405.000000, Processes, 16
